ax,ay,az,gx,gy,gz
-8.6574,-0.7015,-3.6488,1.0315,-0.2907,0.2864
-8.8801,-1.087,-2.9185,0.9459,-0.2132,0.3552
-9.2129,-1.0965,-1.9225,0.9494,-0.2305,0.4402
-9.6199,-1.482,-0.9002,0.939,-0.2193,0.4549
-9.9742,-1.7885,-0.0622,0.919,-0.2369,0.4397
-9.9335,-2.1332,0.419,0.8791,-0.1759,0.4106
-9.7181,-2.1548,0.7757,0.8727,-0.0901,0.3834
-9.5505,-2.0327,0.8715,0.9022,-0.0733,0.3917
-9.3589,-2.2098,0.3496,0.8913,-0.1617,0.3347
-8.1714,-1.3551,0.2897,0.8535,-0.3544,0.2326
-7.3933,-1.1205,-0.5291,0.8274,-0.5556,0.1958
-7.3119,-0.7254,-1.0726,0.8268,-0.7615,0.1655
-7.8027,-0.6345,-1.4653,0.8322,-0.8966,0.1428
-8.2265,-0.6129,-1.3288,0.8631,-0.9158,0.1572
-8.3103,-0.8356,-0.9816,0.8559,-0.8343,0.1759
-8.2791,-1.0463,-0.4597,0.8274,-0.6925,0.2062
-8.2672,-1.233,-0.0934,0.7674,-0.5372,0.2489
-8.1547,-1.3671,0.1413,0.6819,-0.4327,0.2862
-8.2744,-1.4413,0.6033,0.6022,-0.3437,0.3171
-8.8083,-1.5921,1.1253,0.5436,-0.2406,0.3256
-9.3518,-1.6424,1.2498,0.4687,-0.1897,0.2998
-9.4715,-1.5634,1.1588,0.3784,-0.1852,0.2614
-9.4164,-1.4461,1.0798,0.3102,-0.251,0.2156
-9.3326,-1.4078,0.996,0.2372,-0.3741,0.1697
-9.2296,-1.3958,1.1827,0.1857,-0.4748,0.1175
-9.1866,-1.482,1.4293,0.1593,-0.5335,0.0757
-9.4284,-1.64,1.6137,0.129,-0.5478,0.0458
-9.5193,-1.6879,1.5634,0.0909,-0.5316,0.0123
-9.414,-1.5897,1.3815,0.0536,-0.4823,-0.0125
-9.0621,-1.5131,1.0654,0.029,-0.4064,-0.0216
-8.8155,-1.4126,0.8571,0.0136,-0.2974,-0.0179
-8.5952,-1.3288,0.5986,0.0053,-0.1799,0.0
-8.4324,-1.3791,0.5315,0.0008,-0.0608,0.0266
-8.5329,-1.5323,0.5531,-0.0067,0.0501,0.0568
-8.6886,-1.6376,0.5962,-0.0224,0.1503,0.0818
-8.8155,-1.6855,0.6033,-0.0448,0.2321,0.1015
-8.9783,-1.6328,0.5794,-0.0653,0.2923,0.1135
-8.9687,-1.6616,0.6081,-0.0813,0.2928,0.1164
