ax,ay,az,gx,gy,gz
-7.0174,-1.4988,-2.5905,-0.0578,0.3853,0.1143
-7.4244,-1.403,-2.6025,-0.1196,0.2204,0.1111
-7.8458,-1.2354,-2.7031,-0.1226,0.0642,0.125
-8.2169,-1.1971,-3.1556,-0.0951,0.0,0.1332
-8.6694,-1.221,-3.474,-0.0536,0.0298,0.1404
-9.1387,-1.3024,-3.3806,-0.0232,0.1455,0.1247
-9.4906,-1.3743,-3.201,-0.0008,0.2987,0.1053
-9.5624,-1.494,-3.3016,0.0274,0.469,0.1154
-9.3925,-1.6041,-3.2753,0.0493,0.6667,0.1228
-9.1794,-1.7047,-3.1987,0.0701,0.8391,0.1095
-8.7819,-1.6688,-3.0861,0.0717,0.927,0.1082
-8.2815,-1.7358,-3.1029,0.0608,0.9667,0.1053
-7.8745,-1.7597,-3.2154,0.0386,0.9188,0.0989
-7.6614,-1.6975,-3.5051,0.0053,0.785,0.1042
-7.4077,-1.6041,-3.6631,-0.036,0.5953,0.1047
-7.5082,-1.4796,-3.7517,-0.0677,0.393,0.0919
-7.7237,-1.3743,-3.8595,-0.0869,0.1924,0.0882
-8.1403,-1.3455,-3.8595,-0.0874,0.0402,0.0826
-8.6119,-1.2665,-3.7637,-0.0714,-0.0258,0.0727
-9.1459,-1.3048,-3.7804,-0.0504,-0.0093,0.065
-9.5984,-1.403,-3.8666,-0.0253,0.0701,0.0703
-9.7875,-1.5347,-3.8858,-0.0061,0.1913,0.0679
-9.6654,-1.6544,-3.8906,0.0221,0.3525,0.0624
-9.7037,-1.652,-3.8451,0.0437,0.5193,0.061
-9.5457,-1.6664,-3.6176,0.0504,0.6606,0.0565
-9.5409,-1.6233,-3.2753,0.0442,0.8274,0.0405
-9.6175,-1.561,-3.0263,0.028,0.9718,0.028
-9.335,-1.6352,-2.9904,0.0136,1.0794,0.0264
-8.8514,-1.5658,-2.976,0.0013,1.1548,0.0147
-8.5162,-1.4485,-2.8395,-0.0136,1.1655,-0.0035
-8.3677,-1.3743,-2.794,-0.0386,1.1,-0.025
-8.2744,-1.4054,-2.9616,-0.0634,1.0126,-0.0472
-8.4635,-1.4078,-3.1915,-0.0677,0.9662,-0.0626
-8.746,-1.4509,-3.5793,-0.0354,0.9579,-0.0741
-9.0644,-1.4581,-4.2066,0.0043,1.0038,-0.0709
-9.2608,-1.4796,-4.7597,0.0632,1.108,-0.0695
-9.4332,-1.5251,-5.3774,0.1239,1.2828,-0.0573
-9.3541,-1.5634,-5.6934,0.1905,1.4645,-0.0634
-9.0956,-1.6927,-5.7892,0.2473,1.6454,-0.0746
-9.0046,-1.7573,-5.6838,0.3022,1.8178,-0.0802
-9.0573,-1.6975,-5.5833,0.3344,1.9689,-0.0695
-9.1842,-1.7166,-5.7078,0.3331,2.04,-0.0642
-8.4108,-1.9465,-5.6671,0.3147,2.0502,-0.0576
-7.9368,-1.8962,-5.6455,0.3019,2.1448,-0.028
-7.8075,-1.8435,-5.5689,0.2651,2.1101,-0.0568
-7.6614,-1.8124,-5.4588,0.2142,2.0248,-0.0722
-7.695,-1.7502,-5.2289,0.1623,1.9657,-0.0669
-7.8338,-1.5682,-5.1236,0.1231,1.9215,-0.0605
-7.9296,-1.5179,-5.2505,0.1047,1.9284,-0.0461
-8.0709,-1.5203,-5.3534,0.1164,1.9886,-0.0453
-8.1499,-1.4676,-5.3223,0.1498,2.1056,-0.0381
-8.3007,-1.4557,-5.351,0.1924,2.2471,-0.0344
-8.4707,-1.4365,-5.5713,0.2206,2.4357,-0.0021
-8.6048,-1.3862,-5.8945,0.2411,2.6382,0.0104
-8.6167,-1.4629,-5.9783,0.2526,2.8642,0.024
-8.351,-1.494,-6.0956,0.2758,3.1205,0.0104
-8.3797,-1.6305,-6.1723,0.2923,3.4312,0.028
-8.5545,-1.6831,-6.2249,0.3285,3.7076,0.0349
-8.3989,-1.6807,-6.1699,0.3171,3.8856,0.0378
-7.6184,-1.9369,-6.1148,0.2955,4.0308,0.0
-6.9935,-2.0039,-6.2106,0.2875,4.2058,-0.0123
-6.6702,-2.0255,-6.1938,0.2561,4.325,-0.0112
-6.5314,-2.0016,-6.0238,0.2078,4.3764,-0.0317
-6.2177,-1.9537,-6.0621,0.1516,4.3822,-0.0581
-5.7916,-1.8507,-6.1699,0.1063,4.4222,-0.0648
-5.466,-1.8531,-6.3231,0.0799,4.5466,-0.0786
-5.4923,-1.5778,-6.1387,0.0893,4.65,-0.0767
-5.9137,-1.6233,-6.3973,0.0352,4.7366,-0.0655
-5.5952,-1.743,-6.3997,0.0648,4.8462,-0.0847
-5.217,-1.494,-7.0725,0.061,5.0777,-0.0522
-5.4516,-1.8747,-7.355,0.0296,5.3037,-0.0767
-4.9752,-1.8842,-7.3789,0.0773,5.5083,-0.0898
-4.5729,-1.719,-7.8266,0.1079,5.7172,-0.065
