ax,ay,az,gx,gy,gz
-0.5914,-1.2091,-9.8474,-0.0501,-0.1567,-0.1335
-0.5602,-1.1875,-9.9,-0.0533,-0.1958,-0.1132
-0.5866,-1.1157,-9.9958,-0.0658,-0.2129,-0.0997
-0.5315,-1.1396,-9.8785,-0.0701,-0.1966,-0.0871
-0.4645,-1.1947,-9.912,-0.0509,-0.1588,-0.0669
-0.4429,-1.2186,-10.1035,-0.0104,-0.0983,-0.0552
-0.4669,-1.2354,-10.252,0.0282,-0.0325,-0.0629
-0.5052,-1.3336,-10.2903,0.029,0.0013,-0.0799
-0.2801,-1.4605,-10.2448,0.0003,0.0264,-0.0773
-0.2705,-1.5395,-10.386,-0.02,0.0344,-0.049
-0.3591,-1.4509,-10.5776,-0.0131,0.0005,-0.0445
-0.5315,-1.2689,-10.7212,-0.0141,0.0008,-0.0581
-0.6608,-1.1181,-10.6901,-0.0203,-0.0013,-0.0826
-0.7015,-1.0678,-10.5919,-0.0296,-0.0133,-0.0986
-0.6632,-1.1109,-10.5824,-0.0405,-0.0203,-0.0975
-0.577,-1.2067,-10.4076,-0.0565,-0.0093,-0.0823
-0.577,-1.3144,-10.2496,-0.0861,-0.0003,-0.0679
-0.5004,-1.245,-9.9886,-0.1031,-0.0019,-0.065
-0.4597,-1.1325,-9.8186,-0.0975,-0.0187,-0.0602
-0.4477,-1.0127,-10.0054,-0.0778,-0.0325,-0.0549
-0.6153,-0.9409,-10.094,-0.0618,-0.0568,-0.0504
-0.7063,-1.0104,-10.1658,-0.0557,-0.0655,-0.0562
-0.6919,-1.1109,-10.1347,-0.052,-0.0397,-0.0538
-0.6273,-1.2067,-10.1466,-0.0445,0.02,-0.0381
-0.6345,-1.2929,-10.3789,-0.0354,0.0922,-0.0237
-0.4453,-1.2857,-10.5441,-0.0328,0.1463,-0.0234
-0.2131,-1.3144,-10.3741,-0.045,0.1943,-0.0258
-0.0407,-1.3815,-10.1778,-0.0624,0.2236,-0.0298
-0.0024,-1.3647,-10.0533,-0.0695,0.2345,-0.0392
-0.0718,-1.257,-10.0676,-0.0682,0.2313,-0.0408
-0.0814,-1.0558,-10.0844,-0.0866,0.2049,-0.0141
0.0311,-0.8164,-10.0293,-0.0695,0.1703,0.0176
0.0575,-0.6488,-10.1825,-0.0277,0.129,0.0418
0.1006,-0.6632,-10.2927,0.0179,0.0762,0.0357
0.1796,-0.9505,-10.0868,0.0376,0.0226,0.016
0.0215,-1.1325,-10.1131,0.0474,-0.0357,-0.0056
-0.1197,-1.1923,-10.343,0.0552,-0.1007,-0.0226
-0.316,-1.2522,-10.3741,0.0509,-0.1732,-0.0344
-0.5435,-1.2833,-10.4315,0.0277,-0.2268,-0.041
-0.6321,-1.2186,-10.3932,0.0005,-0.2515,-0.0469
-0.6991,-1.1708,-10.3238,-0.0149,-0.2289,-0.0549
-0.6895,-1.0894,-10.4291,0.0045,-0.1628,-0.0501
-0.7087,-0.9673,-10.4675,0.0213,-0.0727,-0.0341
-0.6105,-1.0582,-10.4124,0.0027,0.0061,-0.0173
-0.6919,-1.1109,-10.3142,0.0027,0.0749,-0.0288
-0.6895,-1.1372,-10.173,0.0216,0.0839,-0.0477
-0.4597,-1.0343,-10.082,0.0522,0.0975,-0.0626
-0.1963,-0.9936,-10.2113,0.0813,0.1378,-0.0568
-0.2083,-1.0199,-10.3406,0.1159,0.194,-0.0517
-0.1245,-1.0487,-10.4914,0.1428,0.2028,-0.0552
-0.0862,-1.0558,-10.6398,0.1404,0.1599,-0.0501
-0.2107,-1.0942,-10.6734,0.137,0.0855,-0.0546
-0.2777,-1.075,-10.5752,0.1239,0.0205,-0.0624
-0.2394,-1.1013,-10.4818,0.1116,-0.0378,-0.0648
-0.1939,-1.1732,-10.4818,0.0935,-0.053,-0.0549
-0.2562,-1.1708,-10.5632,0.0671,-0.0594,-0.0568
-0.4788,-1.2378,-10.6183,0.0384,-0.0869,-0.0642
-0.6632,-1.2258,-10.635,0.0056,-0.1258,-0.0618
-0.6919,-1.1612,-10.6686,-0.0277,-0.1593,-0.0453
-0.6584,-1.257,-10.6279,-0.061,-0.158,-0.0354
-0.486,-1.2665,-10.6734,-0.0962,-0.1218,-0.0272
-0.3591,-1.3168,-10.6231,-0.1274,-0.0815,-0.0211
-0.2514,-1.2474,-10.4794,-0.162,-0.069,-0.0163
-0.0766,-1.2067,-10.1969,-0.2102,-0.0525,-0.0181
-0.146,-1.1277,-10.0748,-0.2438,-0.0466,-0.0184
-0.3065,-0.984,-9.979,-0.2577,-0.0698,-0.0288
-0.4166,-0.9649,-9.9862,-0.2427,-0.1061,-0.0442
-0.2825,-1.0487,-10.0772,-0.2252,-0.125,-0.0362
