ax,ay,az,gx,gy,gz
-1.4581,-0.9744,-10.5752,0.008,0.0642,-0.1234
-1.5347,-0.9864,-10.4818,0.0088,0.0322,-0.1228
-1.5179,-1.0415,-10.4267,0.0109,0.0003,-0.1226
-1.5467,-1.0726,-10.4698,0.0128,-0.0179,-0.122
-1.6113,-1.1013,-10.4531,0.0165,-0.0189,-0.1223
-1.7717,-1.0654,-10.4363,0.016,-0.0149,-0.1284
-1.8364,-1.0511,-10.4315,0.0155,0.0072,-0.1364
-1.9178,-1.0247,-10.3932,0.0136,0.0368,-0.1452
-1.8579,-0.9409,-10.4028,0.0208,0.0714,-0.1545
-1.7693,-1.0271,-10.5465,0.0232,0.114,-0.1652
-1.7957,-1.0798,-10.4339,0.0245,0.1516,-0.1692
-1.8268,-1.0774,-10.4291,0.0306,0.1793,-0.1767
-1.8411,-1.0319,-10.41,0.0424,0.2044,-0.1756
-1.8316,-1.0223,-10.4076,0.0533,0.23,-0.1703
-1.6975,-1.0678,-10.41,0.0629,0.2558,-0.1604
-1.585,-1.0846,-10.3453,0.069,0.259,-0.1569
-1.4078,-1.142,-10.3789,0.0695,0.2364,-0.1514
-1.391,-1.154,-10.2544,0.0783,0.1958,-0.1447
-1.4054,-1.2043,-10.1969,0.0855,0.1522,-0.1428
-1.3743,-1.2689,-10.2568,0.085,0.1172,-0.1364
-1.2785,-1.2881,-10.1897,0.0751,0.0735,-0.121
-0.9242,-1.3767,-10.1825,0.0501,-0.0189,-0.1066
-0.2921,-1.4868,-10.331,0.0024,-0.1772,-0.093
0.2131,-1.5395,-10.647,-0.0368,-0.4002,-0.0839
0.2155,-1.6065,-10.307,-0.0906,-0.7155,-0.0781
0.3184,-1.5682,-9.9048,-0.1585,-1.089,-0.093
0.5555,-1.5083,-9.7444,-0.226,-1.4557,-0.1138
0.6081,-1.4246,-9.5816,-0.3224,-1.8786,-0.1407
0.8954,-1.5586,-9.5433,-0.4525,-2.3854,-0.1394
1.063,-1.5036,-9.7636,-0.5614,-2.9188,-0.1231
0.6393,-1.2641,-9.6558,-0.6512,-3.524,-0.1455
0.1796,-1.1636,-9.5289,-0.752,-4.1621,-0.1641
-0.2897,-1.0415,-9.402,-0.8388,-4.7713,-0.1879
-1.0989,-0.8284,-9.2608,-0.8545,-5.2464,-0.2148
-2.138,-0.7015,-9.2632,-0.8434,-5.6615,-0.2326
-2.648,-0.656,-9.6462,-0.7773,-5.8225,-0.2254
-4.877,-0.4118,-8.4539,-0.6158,-5.7175,-0.2435
-6.4093,0.0096,-7.8075,-0.4306,-5.5107,-0.3171
-7.9966,-0.0958,-7.6926,-0.3155,-5.0399,-0.2742
-7.9559,-0.6273,-8.2672,-0.284,-4.6556,-0.1852
-6.3255,-1.0104,-9.1075,-0.2337,-4.2122,-0.0802
-5.0182,-1.3575,-9.3446,-0.2435,-3.9436,-0.0338
-3.6943,-1.5227,-9.3613,-0.3131,-3.8896,-0.0187
-2.8012,-1.4916,-9.165,-0.3691,-3.9959,-0.0573
-2.7031,-1.3192,-8.7843,-0.4008,-4.1747,-0.1223
-4.2521,-1.1109,-8.0517,-0.4357,-4.6556,-0.203
-3.5099,-0.9098,-8.4635,-0.4442,-5.5176,-0.2617
-2.1404,-1.324,-9.1219,-0.4226,-6.199,-0.2891
-2.2482,-1.1803,-8.7197,-0.3477,-6.9992,-0.4034
-3.0215,-0.6967,-7.5824,-0.234,-7.8244,-0.5273
-4.3287,-0.5219,-6.6583,-0.1271,-8.6251,-0.6323
-5.4468,0.0263,-5.8083,0.1175,-8.7314,-0.7986
-6.6272,-0.431,-5.0613,0.0957,-8.7314,-0.7482
-6.1004,-1.1803,-4.9895,-0.0472,-8.7314,-0.6185
-7.2185,-1.6257,-3.96,-0.2284,-8.7314,-0.6235
-7.92,-1.7166,-3.146,-0.4037,-8.7314,-0.6126
-8.8538,-1.6376,-2.5881,-0.5276,-8.7314,-0.5662
-9.7205,-1.6065,-2.569,-0.5327,-8.7314,-0.5529
-8.5018,-1.1803,-2.7605,-0.4599,-8.7314,-0.4506
-9.2273,-1.3001,-2.3846,-0.4143,-8.6147,-0.3765
-9.8785,-0.8906,-2.229,-0.3872,-8.0136,-0.3179
-10.5273,-0.7422,-2.1141,-0.4042,-7.2712,-0.2102
-11.4586,-0.759,-2.2434,-0.3749,-6.3983,-0.1266
-12.1697,-0.5746,-2.3056,-0.3269,-5.5339,-0.0661
-12.3517,-0.6249,-2.5402,-0.2715,-4.8347,-0.0759
-10.9966,-0.9122,-2.6815,-0.1194,-4.0361,-0.0783
-10.8505,-0.8068,-2.3703,0.0949,-3.2538,-0.0581
-10.6638,-0.5387,-2.3152,0.3072,-2.6116,-0.0362
-9.9886,-0.237,-1.3408,0.4282,-2.1234,-0.0085
-10.0078,-0.5626,-1.4988,0.4279,-1.6755,-0.0168
-9.4427,-0.7422,-1.3455,0.5478,-1.4642,-0.0597
-8.2384,-0.3855,-1.0367,0.6861,-1.3464,-0.0887
-7.2281,-0.2514,-0.6129,0.7266,-1.275,-0.0687
-6.9168,-0.1915,-0.1269,0.615,-1.2428,-0.0032
-7.0605,-0.5124,0.0048,0.3925,-1.2748,0.0794
-7.6231,-0.747,0.0192,0.2337,-1.4354,0.0914
-7.853,-0.6416,0.0838,0.1183,-1.5119,0.1069
-8.7484,-0.5674,0.1748,0.0109,-1.4514,0.1354
-9.3972,-0.51,-0.0072,-0.0456,-1.2886,0.1415
-10.2544,-0.4717,-0.1053,-0.0552,-0.9731,0.1359
-10.6015,-0.5243,-0.2155,-0.0197,-0.6512,0.1343
-10.3813,-0.6919,-0.4166,0.02,-0.3392,0.125
-9.5529,-0.7542,-0.51,0.0709,-0.0232,0.1132
-9.3278,-0.7949,-0.3519,0.1039,0.2478,0.1023
-8.8969,-0.9074,-0.4357,0.1106,0.4533,0.0853
-8.7939,-0.9601,-0.4812,0.1023,0.6235,0.0679
